ОПШТИНА_ГРАД,ВРСТА_ПРОМЕНЕ,16.02.2026 – 22.02.2026,23.02.2026 – 01.03.2026,02.03.2026 – 08.03.2026,УКУПНО
ПРИБОЈ,Упис по основу стицања пунолетства,4,2,7,13
ПРИЗРЕН,Брисање по основу одјаве пребивалишта,2,3,1,6
ПРИЗРЕН,Промена адресе пребивалишта,0,1,0,1
ПРИЗРЕН,Промена личних података,0,1,0,1
ПРИЗРЕН,Упис по основу пријаве пребивалишта,6,1,1,8
ПРИЗРЕН,Упис по основу стицања пунолетства,5,3,0,8
ПРИШТИНА - ГРАД,Брисање по основу одјаве пребивалишта,2,14,6,22
ПРИШТИНА - ГРАД,Брисање по основу смрти лица,0,1,4,5
ПРИШТИНА - ГРАД,Упис по основу пријаве пребивалишта,1,0,0,1
ПРИШТИНА - ГРАД,Упис по основу стицања пунолетства,3,2,2,7
ПРОКУПЉЕ - ГРАД,Брисање по основу одјаве пребивалишта,4,12,10,26
ПРОКУПЉЕ - ГРАД,Брисање по основу смрти лица,13,17,10,40
ПРОКУПЉЕ - ГРАД,Брисање по службеној дужности,1,0,0,1
ПРОКУПЉЕ - ГРАД,Промена адресе пребивалишта,16,0,0,16
ПРОКУПЉЕ - ГРАД,Промена личних података,3,0,0,3
ПРОКУПЉЕ - ГРАД,Упис по основу пријаве пребивалишта,5,0,0,5
